Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.207","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.034","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.159","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.253","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.226","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.201","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.114","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.12","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.09","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.153","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.092","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.195","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.275","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.181","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.09","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.311","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.271","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.004","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.225","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.33","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.439","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.078","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.452","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.12","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.034","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.238","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.391","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.549","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.326","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.636","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.458","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.183","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.346","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.501","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.831","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.354","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.656","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1998","1998","°C","0.992","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.788","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.735","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.836","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.018","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.896","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.914","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.103","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.001","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.198","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.938","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.967","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.228","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.923","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.081","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.021","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.052","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.419","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.674","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.44","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.301","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.473","Fc","Calculated data"
